,price,floor_level,bedroom_amount,net_area,district,address,misc,facility,url_desc
0,11500000,H,1,552,Taikoo / Sai Wan Ho,2 Tai Wing Avenue,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00039', 'name': 'Sea View'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Taikoo-Taikoo-Shing-Kwun-Hoi-Terrace-Nam-Hoi-Mansion-Higher-Floor-Flat-H-M150085930
1,8300000,M,2,465,Po Lam / Tseung Kwan O Station,9 Tong Tak Street,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Park-Central-Phase-2-Block-03-Middle-Floor-Flat-D-M250591554
2,6800000,M,2,363,Po Lam / Tseung Kwan O Station,8 Yan King Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00035', 'name': 'Mountain View'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Po-Lam-Metro-City-Phase-2-Block-08-Middle-Floor-Flat-C-M200441423
3,19200000,H,3,922,Taikoo / Sai Wan Ho,22 Taikoo Wan Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00036', 'name': 'Garden View'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Hong-Kong-Island-Taikoo-Taikoo-Shing-Harbour-View-Gardens-West-Willow-Mansion-Higher-Floor-Flat-E-M150163070
4,6880000,M,2,363,Po Lam / Tseung Kwan O Station,8 Yan King Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Po-Lam-Metro-City-Phase-2-Block-11-Middle-Floor-Flat-B-M200438082
5,10800000,H,3,813,Lohas Park,1 Lohas Park Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}, {'id': 'FM13', 'name': 'Recreational Area'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Lohas-Park-Lohas-Park-Le-Prestige-Le-Prime-Tower-6-L-Higher-Floor-Flat-B-M250029493
6,6450000,M,2,425,Yuen Long,11 Shap Pat Heung Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}, {'id': 'MISCF00052', 'name': 'Pet Allowed'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM10', 'name': 'Sports Facilities'}, {'id': 'FM07', 'name': 'Entertainment Facilities'}, {'id': 'FM05', 'name': 'Health & Beauty'}]",https://www.midland.com.hk/en/property/New-Territories-Yuen-Long-Town-Centre-The-Reach-Tower-13-Middle-Floor-Flat-G-M350860944
7,9500000,M,3,675,Tsuen Wan,398 Castle Peak Road Tsuen Wan,"[{'id': 'WITHKEY', 'name': 'Key'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/New-Territories-Tsuen-Wan-Town-Centre-Discovery-Park-Phase-1-Block-04-Middle-Floor-Flat-A-M300124963
8,9500000,H,3,677,Lohas Park,1 Lohas Park Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}]","[{'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Lohas-Park-Lohas-Park-Le-Prestige-Tower-3-L-Higher-Floor-Flat-A-M200130087
9,48000000,L,4,1503,Lai Chi Kok,28 Sham Mong Road,"[{'id': 'WITHKEY', 'name': 'Key'}, {'id': 'MISCF00015', 'name': 'Balcony'}, {'id': 'MISCF00036', 'name': 'Garden View'}, {'id': 'MISCF00007', 'name': 'Clubhouse'}, {'id': 'MISCF00009', 'name': 'Swimming Pool'}]","[{'id': 'FM12', 'name': 'Clubhouse'}, {'id': 'FM02', 'name': 'Swimming Pool'}, {'id': 'FM01', 'name': ""Kids' Facilities""}, {'id': 'FM09', 'name': 'Catering Facilities'}, {'id': 'FM14', 'name': 'Mall'}]",https://www.midland.com.hk/en/property/Kowloon-Nam-Cheong-Station-Cullinan-West-Phase-2A-Tower-1A-Lower-Floor-Flat-A-M200249768
