,Balcony,Club House,Garden View,Lux_Revo,MTR nearby,Mountain View,River View,Rooftop,Sea View,Shopping Mall nearby,Swimming,Terrace,bedroom_amount,building,car_parking,floor_level,link,location,net_area,price,price_per,Garden view
0,,,,,,,,,,,,,2,Double Cove,,,https://www.squarefoot.com.hk/buy/residential/property-32773,Ma On Shan,503,HKD$7.4 Millions,"@14,712 ",
1,,,,,,,,,,,,,3,Royal Ascot,,,https://www.squarefoot.com.hk/buy/residential/property-32758,Fotan,"1,039",HKD$12.95 Millions,"@12,464 ",
2,,,,,,,,,,,,,3,Peak One,,,https://www.squarefoot.com.hk/buy/residential/property-32754,ShaTin,857,HKD$15.5 Millions,"@18,086 ",
3,,,,,,,,,,,,,3,The Riverpark,,,https://www.squarefoot.com.hk/buy/residential/property-32752,Tai Wai,743,HKD$14.6 Millions,"@19,650 ",
4,,,,,,,,,,,,,2,St MARTIN,,,https://www.squarefoot.com.hk/buy/residential/property-32745,Tai Po,498,HKD$9.2 Millions +,"@18,474 ",
5,,,,,,,,,,,,,2,Kwan Yick Building Phase 2,,,https://www.squarefoot.com.hk/buy/residential/property-32744,Sai Ying Pun,420,HKD$5.28 Millions,"@12,571 ",
6,,,,,,,,,,,,,4,Village,,,https://www.squarefoot.com.hk/buy/residential/property-32738,Sai Kung,"2,100",HKD$26.8 Millions,"@12,762 ",
7,,,,,,,,,,,,,5+,Village,,,https://www.squarefoot.com.hk/buy/residential/property-32737,Sai Kung,"2,100",HKD$25.8 Millions,"@12,286 ",
8,,,,,,,,,,,,,4,Village House,,,https://www.squarefoot.com.hk/buy/residential/property-32736,Clear Water Bay,"1,305",HKD$16 Millions,"@12,261 ",
9,,,,,,,,,,,,,5+,La Vetta,,,https://www.squarefoot.com.hk/buy/residential/property-32731,ShaTin,"2,738",HKD$62.88 Millions,"@22,966 ",
10,,,,,,,,,,,,,,,,,link,location,area,price,price_per,
11,,,,,,,,,,,,,4,Hong Kong Garden,,,https://www.squarefoot.com.hk/buy/residential/property-32831,Western mid-levels,"1,991",HKD$48 Millions,"@24,108 ",
12,,,,,,,,,,,,,3,Harbour One,,,https://www.squarefoot.com.hk/buy/residential/property-32828,Kennedy Town,"1,127",HKD$33 Millions,"@29,281 ",
13,,,,,,,,,,,,,2,Serene court,,,https://www.squarefoot.com.hk/buy/residential/property-32827,Kennedy Town,691,HKD$12.38 Millions,"@17,916 ",
14,,,,,,,,,,,,,4,Hong Lok Yuen,,,https://www.squarefoot.com.hk/buy/residential/property-32823,Tai Po,"2,120",HKD$35.2 Millions,"@16,604 ",
15,,,,,,,,,,,,,3,Festival City,,,https://www.squarefoot.com.hk/buy/residential/property-32821,Tai Wai,785,HKD$12.5 Millions,"@15,924 ",
16,,,,,,,,,,,,,3,Festival City,,,https://www.squarefoot.com.hk/buy/residential/property-32820,Tai Wai,741,HKD$12.5 Millions,"@16,869 ",
17,,,,,,,,,,,,,1,Arbuthnot House,,,https://www.squarefoot.com.hk/buy/residential/property-32802,Western mid-levels,506,HKD$9.98 Millions,"@19,723 ",
18,,,,,,,,,,,,,2,Academic Terrace,,,https://www.squarefoot.com.hk/buy/residential/property-26914,Kennedy Town,649,HKD$14.8 Millions,"@22,804 ",
19,,,,,,,,,,,,,2,Bayview Court,,,https://www.squarefoot.com.hk/buy/residential/property-12123,Pok Fu Lam,"1,319",HKD$30 Millions,"@22,745 ",
20,,,,,,,,,,,,,4,Consort Garden,,,https://www.squarefoot.com.hk/buy/residential/property-12152,Pok Fu Lam,"1,822",HKD$39.9 Millions,"@21,899 ",
21,,,,,,,,,,,,,4,Mayfair By The Sea,,,https://www.squarefoot.com.hk/buy/residential/property-32546,Tai Po,"1,067",HKD$16.5 Millions,"@15,464 ",
22,,,,,,,,,,,,,3,Villa Oceania,,,https://www.squarefoot.com.hk/buy/residential/property-32539,Ma On Shan,966,HKD$14.98 Millions,"@15,507 ",
23,,,,,,,,,,,,,4,Floral Villas,,,https://www.squarefoot.com.hk/buy/residential/property-32527,Sai Kung,"4,006",HKD$250 Millions +,"@62,406 ",
24,,,,,,,,,,,,,3,Mayfair By The Sea 8,,,https://www.squarefoot.com.hk/buy/residential/property-32521,Tai Po,698,HKD$10 Millions,"@14,327 ",
25,,,,,,,,,,,,,4,The Westminster Terrace,,,https://www.squarefoot.com.hk/buy/residential/property-32518,Tsuen Wan Sham Tseng,"2,561",HKD$45 Millions,"@17,571 ",
26,,,,,,,,,,,,,,Hampstead,,,https://www.squarefoot.com.hk/buy/residential/property-32494,Tai Po,"2,377",HKD$43 Millions,"@18,090 ",
27,,,,,,,,,,,,,,La Vetta,,,https://www.squarefoot.com.hk/buy/residential/property-32492,ShaTin,"2,738",HKD$65 Millions,"@23,740 ",
28,,,,,,,,,,,,,,Wesley Villa,,,https://www.squarefoot.com.hk/buy/residential/property-32490,Fotan,"1,624",HKD$36.8 Millions,"@22,660 ",
29,,,,,,,,,,,,,4,Chateau Royale,,,https://www.squarefoot.com.hk/buy/residential/property-27398,Tai Po,"2,352",HKD$32 Millions,"@13,605 ",
30,,,,,,,,,,,,,3,Pak Kong,,,https://www.squarefoot.com.hk/buy/residential/property-23451,Sai Kung,"1,400",HKD$11.88 Millions,"@8,486 ",
31,,,,,,,,,,,,,4,Ng Fai Tin,,,https://www.squarefoot.com.hk/buy/residential/property-23452,Clear Water Bay,"2,100",HKD$26.8 Millions,"@12,762 ",
